Entity,Code,Annual CO2 emissions
Afghanistan,AFG,12160286
Albania,ALB,4534673
Algeria,DZA,154995460
Andorra,AND,466294
Angola,AGO,22198161
Anguilla,AIA,123426
Antigua and Barbuda,ATG,430410
Argentina,ARG,156978063
Armenia,ARM,5890292
Aruba,ABW,753218
Australia,AUS,391891928
Austria,AUT,60634876
Azerbaijan,AZE,37720462
Bahamas,BHS,2337684
Bahrain,BHR,34960075
Bangladesh,BGD,92841625
Barbados,BRB,1086743
Belarus,BLR,57445417
Belgium,BEL,83748962
Belize,BLZ,582795
Benin,BEN,6702765
Bermuda,BMU,624448
Bhutan,BTN,1925367
Bolivia,BOL,20700023
Bonaire Sint Eustatius and Saba,BES,300654
Bosnia and Herzegovina,BIH,21417961
Botswana,BWA,6518934
Brazil,BRA,467383500
British Virgin Islands,VGB,139250
Brunei,BRN,10158494
Bulgaria,BGR,37444110
Burkina Faso,BFA,3969636
Burundi,BDI,602181
Cambodia,KHM,15325618
Cameroon,CMR,6889318
Canada,CAN,535822990
Cape Verde,CPV,549930
Central African Republic,CAF,187906
Chad,TCD,912301
Chile,CHL,81171490
China,CHN,10667887453
Colombia,COL,89104941
Comoros,COM,258456
Congo,COG,3116760
Cook Islands,COK,79423
Costa Rica,CRI,7907389
Cote d'Ivoire,CIV,10070733
Croatia,HRV,16982010
Cuba,CUB,20152280
Curacao,CUW,3335066
Cyprus,CYP,6496162
Czechia,CZE,87974706
Democratic Republic of Congo,COD,2477334
Denmark,DNK,26194912
Djibouti,DJI,351464
Dominica,DMA,139250
Dominican Republic,DOM,27769310
Ecuador,ECU,30931763
Egypt,EGY,213456746
El Salvador,SLV,6123716
Equatorial Guinea,GNQ,10265267
Eritrea,ERI,722332
Estonia,EST,10452414
Eswatini,SWZ,955776
Ethiopia,ETH,14664773
Faeroe Islands,FRO,683898
Fiji,FJI,1393413
Finland,FIN,39287631
France,FRA,276633893
French Guiana,GUF,728379
French Polynesia,PYF,828267
Gabon,GAB,4298177
Gambia,GMB,499912
Georgia,GEO,9968094
Germany,DEU,644310352
Ghana,GHA,16001330
Greece,GRC,52235141
Greenland,GRL,514413
Grenada,GRD,294834
Guadeloupe,GLP,2561883
Guatemala,GTM,18937908
Guinea,GIN,3394049
Guinea-Bissau,GNB,286774
Guyana,GUY,2212691
Haiti,HTI,2919510
Honduras,HND,9659570
Hong Kong,HKG,31238788
Hungary,HUN,48275451
Iceland,ISL,2935990
India,IND,2441792313
Indonesia,IDN,589500368
Iran,IRN,745035109
Iraq,IRQ,210829146
Ireland,IRL,33348699
Israel,ISR,56350861
Italy,ITA,303815294
Jamaica,JAM,7429454
Japan,JPN,1030775384
Jordan,JOR,25487430
Kazakhstan,KAZ,291335929
Kenya,KEN,16146074
Kiribati,KIR,68077
Kosovo,OWID_KOS,7890151
Kuwait,KWT,88935077
Kyrgyzstan,KGZ,11507817
Laos,LAO,33846818
Latvia,LVA,6772778
Lebanon,LBN,25969298
Lesotho,LSO,2183421
Liberia,LBR,1008984
Libya,LBY,50720577
Liechtenstein,LIE,141012
Lithuania,LTU,13799480
Luxembourg,LUX,8174648
Macao,MAC,1262755
Madagascar,MDG,3679618
Malawi,MWI,1394983
Malaysia,MYS,272607434
Maldives,MDV,1796469
Mali,MLI,3390011
Malta,MLT,1594903
Marshall Islands,MHL,151282
Martinique,MTQ,2348393
Mauritania,MRT,3377180
Mauritius,MUS,3979358
Mayotte,MYT,305584
Mexico,MEX,356968119
Micronesia (country),FSM,147500
Moldova,MDA,5146876
Mongolia,MNG,88441761
Montenegro,MNE,2309894
Montserrat,MSR,25318
Morocco,MAR,64536253
Mozambique,MOZ,6570936
Myanmar,MMR,36325546
Namibia,NAM,3877243
Nauru,NRU,56731
Nepal,NPL,16957668
Netherlands,NLD,138100074
New Caledonia,NCL,8692686
New Zealand,NZL,33475158
Nicaragua,NIC,5073650
Niger,NER,1690423
Nigeria,NGA,125462961
Niue,NIU,11346
North Korea,PRK,29311104
North Macedonia,MKD,7146509
Norway,NOR,41283000
Oman,OMN,62162570
Pakistan,PAK,234754740
Palau,PLW,219358
Palestine,PSE,2898754
Panama,PAN,10779522
Papua New Guinea,PNG,6652121
Paraguay,PRY,7569706
Peru,PER,44706055
Philippines,PHL,136017950
Poland,POL,299592767
Portugal,PRT,40387817
Qatar,QAT,106654967
Reunion,REU,4587948
Romania,ROU,71475046
Russia,RUS,1577136041
Rwanda,RWA,1032737
Saint Helena,SHN,9494
Saint Kitts and Nevis,KNA,212040
Saint Lucia,LCA,439905
Saint Pierre and Miquelon,SPM,50636
Saint Vincent and the Grenadines,VCT,208876
Samoa,WSM,245833
Sao Tome and Principe,STP,112744
Saudi Arabia,SAU,625507882
Senegal,SEN,10451209
Serbia,SRB,43135397
Seychelles,SYC,491067
Sierra Leone,SLE,877190
Singapore,SGP,45503904
Sint Maarten (Dutch part),SXM,623462
Slovakia,SVK,30730385
Slovenia,SVN,12562986
Solomon Islands,SLB,298781
Somalia,SOM,562143
South Africa,ZAF,451957087
South Korea,KOR,597605055
South Sudan,SSD,1179207
Spain,ESP,208914968
Sri Lanka,LKA,21106254
Sudan,SDN,18859244
Suriname,SUR,2224178
Sweden,SWE,38634794
Switzerland,CHE,32298333
Syria,SYR,30531928
Taiwan,TWN,273174653
Tajikistan,TJK,9447656
Tanzania,TZA,10938632
Thailand,THA,257765782
Timor,TLS,525704
Togo,TGO,2191571
Tonga,TON,143718
Trinidad and Tobago,TTO,35509414
Tunisia,TUN,28126702
Turkey,TUR,392794051
Turkmenistan,TKM,75337709
Turks and Caicos Islands,TCA,202546
Tuvalu,TUV,7564
Uganda,UGA,4892203
Ukraine,UKR,213908873
United Arab Emirates,ARE,150268152
United Kingdom,GBR,329578911
United States,USA,4712770573
Uruguay,URY,5840060
Uzbekistan,UZB,112784345
Vanuatu,VUT,181538
Venezuela,VEN,84609478
Vietnam,VNM,254303169
Wallis and Futuna,WLF,26474
World,OWID_WRL,34807259099
Yemen,YEM,9768313
Zambia,ZMB,6572938
Zimbabwe,ZWE,10531342
