Year,Solar_module_cost,Onshore_wind_cost
1983,19.09,0.4
1984,16.97,0.39
1985,14.85,0.36
1986,11.13,0.31
1987,8.48,0.3
1988,7.53,0.24
1989,8.16,0.22
1990,8.80,0.24
1991,7.95,0.22
1992,7.21,0.21
1993,7.10,0.22
1994,6.36,0.21
1995,5.83,0.21
1996,6.04,0.19
1997,6.36,0.16
1998,5.72,0.14
1999,5.09,0.13
2000,4.87,0.14
2001,4.77,0.13
2002,4.03,0.12
2003,3.97,0.1
2004,4.13,0.11
2005,4.24,0.1
2006,4.45,0.1
2007,4.13,0.09
2008,3.44,0.09
2009,2.38,0.1
2010,2.04,0.08
2011,1.67,0.08
2012,0.87,0.08
2013,0.69,0.07
2014,0.64,0.07
2015,0.59,0.06
2016,0.55,0.06
2017,0.46,0.05
