Sector,EU_per_capita,World_per_capita,EU_overall,World_overall
Agriculture,0.876305347,0.763203357,389550000,5817650000
Aviation and shipping,0.583956116,0.172065615,259590000,1311600000
Buildings,0.978636575,0.378153413,435040000,2882540000
Electricity and heat,2.493494189,2.045338818,1108450000,15590950000
Fugitive / other emissions,0.123724282,0.378264923,173290000,4335410000
Industry,0.373579846,0.380795531,166070000,2902680000
Land-use change and forestry,-0.526210619,0.182030622,-233920000,1387560000
Manufacturing and construction,0.852190359,0.807895026,378830000,6158320000
Transport,1.815732572,1.083311519,807160000,8257730000
Waste,0.244524172,0.210800056,108700000,1606860000
